Date,RegionName,State,Metro,County,City,SizeRank,Zri,MoM,QoQ,YoY,ZriRecordCnt
2017/1/31,10025,NY,New York,New York,New York,0,3556,-0.003083824,-0.009194762,-0.017679558,22431
2017/1/31,60657,IL,Chicago,Cook,Chicago,1,1890,-0.010471204,-0.030769231,-0.036697248,32224
2017/1/31,10023,NY,New York,New York,New York,2,3840,-0.002597403,-0.019157088,-0.018655763,29114
2017/1/31,60614,IL,Chicago,Cook,Chicago,3,2129,-0.006532898,-0.023394495,-0.054618117,33150
2017/1/31,79936,TX,El Paso,El Paso,El Paso,4,992,-0.001007049,-0.007007007,-0.048897411,31486
2017/1/31,10002,NY,New York,New York,New York,5,3656,-0.009214092,-0.02843476,-0.026364847,9172
2017/1/31,60640,IL,Chicago,Cook,Chicago,6,1595,-0.006849315,-0.02027027,-0.011771995,22481
2017/1/31,10467,NY,New York,Bronx,New York,7,1677,-0.010619469,-0.02895194,-0.075523705,7339
2017/1/31,77084,TX,Houston,Harris,Houston,8,1442,-0.001385042,0.000693963,-0.008253095,26718
2017/1/31,94109,CA,San Francisco,San Francisco,San Francisco,9,4464,-0.006896552,-0.015873016,-0.048187633,9561
2017/1/31,75070,TX,Dallas-Fort Worth,Collin,McKinney,10,1940,0.001031992,0.004660798,0.02266737,28948
2017/1/31,11226,NY,New York,Kings,New York,11,2179,-0.001374885,0.003684938,0.037125178,10575
2017/1/31,77494,TX,Houston,Fort Bend,Cinco Ranch,12,2133,-0.00698324,-0.029130633,-0.136437247,31576
2017/1/31,77449,TX,Houston,Harris,Cypress,13,1445,-0.002071823,-0.002760524,-0.008236102,31979
2017/1/31,11375,NY,New York,Queens,New York,14,2145,0.00140056,-0.001861331,-0.043264942,22413
2017/1/31,10016,NY,New York,New York,New York,15,3652,-0.007338951,-0.02248394,-0.019597315,26908
2017/1/31,11235,NY,New York,Kings,New York,16,2254,0.00714924,0.019909502,0.039667897,16914
2017/1/31,60647,IL,Chicago,Cook,Chicago,17,1757,-0.002837684,-0.011254924,-0.020078081,20165
2017/1/31,37211,TN,Nashville,Davidson,Nashville,18,1499,0.002675585,0.009427609,0.032369146,20517
2017/1/31,90250,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Hawthorne,19,2520,0.003584229,0.008,0.056603774,14870
2017/1/31,37013,TN,Nashville,Davidson,Nashville,20,1422,0,0.012099644,0.049446494,22726
2017/1/31,10009,NY,New York,New York,New York,21,3816,-0.009345794,-0.023291528,0.008190225,9251
2017/1/31,60618,IL,Chicago,Cook,Chicago,22,1821,-0.003284072,-0.013542795,-0.032926182,20788
